,Date,Algo 1,Algo 2
0,2014-05-28,0.0017446466944906,
1,2014-05-29,0.0039780671224302,
2,2014-05-30,0.0044641544491456,
3,2014-06-02,0.0056924077928739,
4,2014-06-03,0.0052922548574696,
5,2014-06-04,-0.0018375735151921,
6,2014-06-05,0.0040623899038395,0.0132850478592028
7,2014-06-06,0.0018566535271754,0.0082837711938497
8,2014-06-09,-0.0050116417254951,0.0056681085284448
9,2014-06-10,0.0044060547305921,-0.0007354920754258
10,2014-06-11,0.004760098111486,-0.0037612790592383
11,2014-06-12,-2.823658444159501e-05,-0.0038411294061609
12,2014-06-13,0.0019173935356267,-0.0008143888607544
13,2014-06-16,0.001084026429456,0.0018306830134896
14,2014-06-17,0.0009220495467447,0.0068697100254122
15,2014-06-18,-0.0063033411754054,0.0072282162048641
16,2014-06-19,-0.0008528868558436,0.0039889475767817
17,2014-06-20,0.0063976208864215,0.0039284990816965
18,2014-06-23,-0.0045322592622181,-0.0006147431802631
19,2014-06-24,0.0118612750978337,-0.0093890940988111
20,2014-06-25,-0.0013214028696439,0.0063224590505043
21,2014-06-26,-0.0002127181257784,-0.0003335179834055
22,2014-06-27,0.0071361364302687,0.0045949245140577
23,2014-06-30,-0.0015836216300565,0.0052421591318199
24,2014-07-01,0.0018174824626382,0.0077103929392572
25,2014-07-02,0.0032997794281187,-0.0028338267035524
26,2014-07-03,0.0013577194261448,0.0031250951868598
27,2014-07-07,0.0027818636553532,-0.0122575740365681
28,2014-07-08,0.0024881253574092,-0.010457268201887
29,2014-07-09,-0.0018809247220774,0.0044271197769713
30,2014-07-10,-0.0011531534959454,-0.0112137804053471
31,2014-07-11,-0.0003658193671289,0.0027801397669089
32,2014-07-14,0.0044603221215334,0.0046140647555327
33,2014-07-15,-0.0021063883898672,-0.0077988162129442
34,2014-07-16,-0.003186335054902,0.0001092387347035
35,2014-07-17,-0.009029619474488,-0.0080562347749191
36,2014-07-18,0.0122652448333353,0.008167202519394
37,2014-07-21,-0.004785684737446,0.0001700758126434
38,2014-07-22,0.0076197135136342,0.0041528956980944
39,2014-07-23,0.0021532885567249,0.0001089120701675
40,2014-07-24,-0.0024857972959861,-0.0028715123351462
41,2014-07-25,-0.0034659663762372,-0.0026411640632353
42,2014-07-28,-0.0089519282231263,-0.0032856980644952
43,2014-07-29,0.0045111341131635,-0.0011742277757999
44,2014-07-30,0.0087909426062577,0.0001643908628337
45,2014-07-31,-0.0014077209495477,-0.0162064572267935
46,2014-08-01,-0.0008597108004017,-0.0036132451880651
47,2014-08-04,0.0006889860058863,0.0005876221785659
48,2014-08-05,-0.0022057330996872,-0.0039195878363943
49,2014-08-06,0.0056920632669951,0.0038491099319249
50,2014-08-07,-0.0016453692082982,-0.0045162244830903
51,2014-08-08,0.0013194725986463,0.0077354586804779
52,2014-08-11,0.0002137769233988,0.0066135936539627
53,2014-08-12,0.0051435080172434,-0.0042266586305552
54,2014-08-13,0.0036634823894547,0.0069316579109254
55,2014-08-14,-0.0024179365594439,0.0002980400377518
56,2014-08-15,-1.796604559971878e-05,-0.0002618733308066
57,2014-08-18,-0.0049576343378147,0.011767294203932
58,2014-08-19,-0.0022663626601018,0.0027420819101058
59,2014-08-20,0.0040749051078164,-0.0020019474825369
60,2014-08-21,0.0018342696117931,0.0020101921825866
61,2014-08-22,-0.0051662621655507,-0.0002348943955294
62,2014-08-25,-0.0089664842960428,0.0052418813385942
63,2014-08-26,0.0012203827828643,0.0047191956835265
64,2014-08-27,0.0008429477000615,5.306289360048227e-05
65,2014-08-28,0.0017088433846949,-0.0030426857053632
66,2014-08-29,4.161574118894274e-05,0.0060664517459874
67,2014-09-02,-0.0052227521807819,0.0042135134427447
68,2014-09-03,0.0060504953601243,-0.0022174190295434
69,2014-09-04,-0.0021931340403437,-0.001654461951798
70,2014-09-05,0.0003790485857775,0.002718494438971
71,2014-09-08,-0.002510667537819,-0.0015818411917747
72,2014-09-09,0.0029972634628351,-0.0076697993055631
73,2014-09-10,-0.0060983047374069,0.0024293199163701
74,2014-09-11,0.000753773121725,0.0009625809317649
75,2014-09-12,-0.0014479522681444,-0.0066185163027427
76,2014-09-15,0.0073197037073672,-0.0074066528909837
77,2014-09-16,-0.0006233255944013,0.0036065638286166
78,2014-09-17,0.002087964283031,0.0004680821330644
79,2014-09-18,0.0002826757770559,0.0027274743998529
80,2014-09-19,-0.0032869798302105,-0.004640941768575
81,2014-09-22,-0.0078457079734187,-0.0118801920680187
82,2014-09-23,-0.0005115762524437,-0.007547696203287
83,2014-09-24,0.0058688467580057,0.0072439542238103
84,2014-09-25,-0.004803681175162,-0.0121408324324821
85,2014-09-26,0.0010268199284051,0.0064753928451501
86,2014-09-29,0.0004963041341547,-0.001107129699372
87,2014-09-30,-0.0033698177198608,-0.0060970454613762
88,2014-10-01,-0.0031346709738399,-0.0129489024141932
89,2014-10-02,0.0023509808331083,0.0042658756510023
90,2014-10-03,-0.0028487547277403,0.0066428602825985
91,2014-10-06,-0.0028764308739218,-0.0056222429579977
92,2014-10-07,-0.0012776852873146,-0.0146628466368704
93,2014-10-08,-0.0063806389797179,0.0103248653614312
94,2014-10-09,-0.0158387321331301,-0.018759904183276
95,2014-10-10,-0.0126118409141605,-0.0117518771211062
96,2014-10-13,-0.0185281849112017,-0.0020087733919868
97,2014-10-14,0.0007022235588284,0.0045010010432744
98,2014-10-15,0.0216156057914177,-0.0009768041861381
99,2014-10-16,0.0982461777779273,0.0837340104885797
100,2014-10-17,0.0216649377145577,-0.0002759181662814
